time,.data
1969/12/31/22:13:57.930000,-2.6267910775075287
1969/12/31/22:13:57.930000,-2.6267910775075287
1969/12/31/22:13:57.940000,-2.6267910775075287
1969/12/31/22:13:57.940000,-2.6267910775075287
1969/12/31/22:13:57.950000,-2.6267910775075287
1969/12/31/22:13:57.950000,-2.6267910775075287
1969/12/31/22:13:57.960000,-2.6267910775075287
1969/12/31/22:13:57.960000,-2.5982102965108735
1969/12/31/22:13:57.970000,-2.5982102965108735
1969/12/31/22:13:57.970000,-2.5982102965108735
1969/12/31/22:13:57.980000,-2.5982102965108735
1969/12/31/22:13:57.980000,-2.5982102965108735
1969/12/31/22:13:57.990000,-2.5982102965108735
1969/12/31/22:13:57.990000,-2.5982102965108735
1969/12/31/22:13:58.000000,-2.5982102965108735
1969/12/31/22:13:58.000000,-2.5982102965108735
1969/12/31/22:13:58.010000,-2.5982102965108735
1969/12/31/22:13:58.010000,-2.5686203346249172
1969/12/31/22:13:58.020000,-2.5686203346249172
1969/12/31/22:13:58.020000,-2.563531651006026
1969/12/31/22:13:58.030000,-2.563531651006026
1969/12/31/22:13:58.030000,-2.563531651006026
1969/12/31/22:13:58.040000,-2.563531651006026
1969/12/31/22:13:58.040000,-2.563531651006026
1969/12/31/22:13:58.050000,-2.563531651006026
1969/12/31/22:13:58.050000,-2.563531651006026
1969/12/31/22:13:58.060000,-2.563531651006026
1969/12/31/22:13:58.060000,-2.545585972336961
1969/12/31/22:13:58.070000,-2.545585972336961
1969/12/31/22:13:58.070000,-2.545585972336961
1969/12/31/22:13:58.080000,-2.545585972336961
1969/12/31/22:13:58.080000,-2.545585972336961
1969/12/31/22:13:58.090000,-2.545585972336961
1969/12/31/22:13:58.090000,-2.545585972336961
1969/12/31/22:13:58.100000,-2.545585972336961
1969/12/31/22:13:58.100000,-2.545585972336961
1969/12/31/22:13:58.110000,-2.545585972336961
1969/12/31/22:13:58.110000,-2.528722464203933
1969/12/31/22:13:58.120000,-2.528722464203933
1969/12/31/22:13:58.120000,-2.528722464203933
1969/12/31/22:13:58.130000,-2.528722464203933
1969/12/31/22:13:58.130000,-2.528722464203933
1969/12/31/22:13:58.140000,-2.528722464203933
1969/12/31/22:13:58.140000,-2.528722464203933
1969/12/31/22:13:58.150000,-2.528722464203933
1969/12/31/22:13:58.150000,-2.511961298644908
