time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1969/12/31/22:13:57.650000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.650000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.660000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.660000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.670000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.670000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.680000,2.7105505445649567,0.0,0.0,0.0,0.0,-0.696285971334328
1969/12/31/22:13:57.680000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.690000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.690000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.700000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.700000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.710000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.710000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.720000,2.7209364493591237,0.0,0.0,0.0,0.0,-0.6895103953207464
1969/12/31/22:13:57.720000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.730000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.730000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.740000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.740000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.750000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.750000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.760000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.760000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.770000,2.698323325107415,0.0,0.0,0.0,0.0,-0.6461176318371904
1969/12/31/22:13:57.770000,2.692417743920973,0.0,0.0,0.0,0.0,-0.6127220711394887
1969/12/31/22:13:57.780000,2.692417743920973,0.0,0.0,0.0,0.0,-0.6127220711394887
1969/12/31/22:13:57.780000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.790000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.790000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.800000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.800000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.810000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.810000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.820000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.820000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.830000,2.6901686045976776,0.0,0.0,0.0,0.0,-0.6106563803234442
1969/12/31/22:13:57.830000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.840000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.840000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.850000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.850000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.860000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.860000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.870000,2.7026349649163435,0.0,0.0,0.0,0.0,-0.5989764811488609
1969/12/31/22:13:57.870000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.880000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.880000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.890000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.890000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.900000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.900000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.910000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.910000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.920000,2.699614043299566,0.0,0.0,0.0,0.0,-0.5806240487708678
1969/12/31/22:13:57.920000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.930000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.930000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.940000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.940000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.950000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.950000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.960000,2.6826269045956233,0.0,0.0,0.0,0.0,-0.5922723119300795
1969/12/31/22:13:57.960000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:57.970000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:57.970000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:57.980000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:57.980000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:57.990000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:57.990000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:58.000000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:58.000000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:58.010000,2.644507206756866,0.0,0.0,0.0,0.0,-0.6190870348302735
1969/12/31/22:13:58.010000,2.628381484641026,0.0,0.0,0.0,0.0,-0.6346201142081863
1969/12/31/22:13:58.020000,2.628381484641026,0.0,0.0,0.0,0.0,-0.6346201142081863
1969/12/31/22:13:58.020000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.030000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.030000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.040000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
1969/12/31/22:13:58.040000,2.6296762437375656,0.0,0.0,0.0,0.0,-0.6296373055670245
