time,.data
1969/12/31/22:13:57.380000,1.2395083446531636
1969/12/31/22:13:57.380000,1.2863061671779685
1969/12/31/22:13:57.390000,1.2863061671779685
1969/12/31/22:13:57.390000,1.2863061671779685
1969/12/31/22:13:57.400000,1.2863061671779685
1969/12/31/22:13:57.400000,1.2863061671779685
1969/12/31/22:13:57.410000,1.2863061671779685
1969/12/31/22:13:57.410000,1.2863061671779685
1969/12/31/22:13:57.420000,1.2863061671779685
1969/12/31/22:13:57.420000,1.2863061671779685
1969/12/31/22:13:57.430000,1.2863061671779685
1969/12/31/22:13:57.430000,1.3330565404299843
1969/12/31/22:13:57.440000,1.3330565404299843
1969/12/31/22:13:57.440000,1.3424857664332188
1969/12/31/22:13:57.450000,1.3424857664332188
1969/12/31/22:13:57.450000,1.3424857664332188
1969/12/31/22:13:57.460000,1.3424857664332188
1969/12/31/22:13:57.460000,1.3424857664332188
1969/12/31/22:13:57.470000,1.3424857664332188
1969/12/31/22:13:57.470000,1.3424857664332188
1969/12/31/22:13:57.480000,1.3424857664332188
1969/12/31/22:13:57.480000,1.3424857664332188
1969/12/31/22:13:57.490000,1.3424857664332188
1969/12/31/22:13:57.490000,1.383027574556706
1969/12/31/22:13:57.500000,1.383027574556706
1969/12/31/22:13:57.500000,1.383027574556706
1969/12/31/22:13:57.510000,1.383027574556706
1969/12/31/22:13:57.510000,1.383027574556706
1969/12/31/22:13:57.520000,1.383027574556706
1969/12/31/22:13:57.520000,1.383027574556706
1969/12/31/22:13:57.530000,1.383027574556706
1969/12/31/22:13:57.530000,1.4241834304038141
1969/12/31/22:13:57.540000,1.4241834304038141
1969/12/31/22:13:57.540000,1.4241834304038141
1969/12/31/22:13:57.550000,1.4241834304038141
1969/12/31/22:13:57.550000,1.4241834304038141
1969/12/31/22:13:57.560000,1.4241834304038141
1969/12/31/22:13:57.560000,1.4241834304038141
1969/12/31/22:13:57.570000,1.4241834304038141
1969/12/31/22:13:57.570000,1.4241834304038141
1969/12/31/22:13:57.580000,1.4241834304038141
1969/12/31/22:13:57.580000,1.4736157481419114
1969/12/31/22:13:57.590000,1.4736157481419114
1969/12/31/22:13:57.590000,1.4736157481419114
1969/12/31/22:13:57.600000,1.4736157481419114
1969/12/31/22:13:57.600000,1.4736157481419114
1969/12/31/22:13:57.610000,1.4736157481419114
1969/12/31/22:13:57.610000,1.4736157481419114
1969/12/31/22:13:57.620000,1.4736157481419114
1969/12/31/22:13:57.620000,1.5246891018768018
1969/12/31/22:13:57.630000,1.5246891018768018
1969/12/31/22:13:57.630000,1.5349237532410995
1969/12/31/22:13:57.640000,1.5349237532410995
1969/12/31/22:13:57.640000,1.5349237532410995
1969/12/31/22:13:57.650000,1.5349237532410995
1969/12/31/22:13:57.650000,1.5349237532410995
1969/12/31/22:13:57.660000,1.5349237532410995
1969/12/31/22:13:57.660000,1.5349237532410995
1969/12/31/22:13:57.670000,1.5349237532410995
1969/12/31/22:13:57.670000,1.5349237532410995
1969/12/31/22:13:57.680000,1.5349237532410995
1969/12/31/22:13:57.680000,1.575784527463328
1969/12/31/22:13:57.690000,1.575784527463328
1969/12/31/22:13:57.690000,1.575784527463328
1969/12/31/22:13:57.700000,1.575784527463328
1969/12/31/22:13:57.700000,1.575784527463328
1969/12/31/22:13:57.710000,1.575784527463328
1969/12/31/22:13:57.710000,1.575784527463328
1969/12/31/22:13:57.720000,1.575784527463328
1969/12/31/22:13:57.720000,1.6272156905457777
1969/12/31/22:13:57.730000,1.6272156905457777
1969/12/31/22:13:57.730000,1.6272156905457777
1969/12/31/22:13:57.740000,1.6272156905457777
1969/12/31/22:13:57.740000,1.6272156905457777
1969/12/31/22:13:57.750000,1.6272156905457777
1969/12/31/22:13:57.750000,1.6272156905457777
1969/12/31/22:13:57.760000,1.6272156905457777
1969/12/31/22:13:57.760000,1.6272156905457777
1969/12/31/22:13:57.770000,1.6272156905457777
1969/12/31/22:13:57.770000,1.6758743384084716
1969/12/31/22:13:57.780000,1.6758743384084716
1969/12/31/22:13:57.780000,1.6854046429512128
1969/12/31/22:13:57.790000,1.6854046429512128
1969/12/31/22:13:57.790000,1.6854046429512128
1969/12/31/22:13:57.800000,1.6854046429512128
1969/12/31/22:13:57.800000,1.6854046429512128
1969/12/31/22:13:57.810000,1.6854046429512128
1969/12/31/22:13:57.810000,1.6854046429512128
1969/12/31/22:13:57.820000,1.6854046429512128
1969/12/31/22:13:57.820000,1.6854046429512128
1969/12/31/22:13:57.830000,1.6854046429512128
1969/12/31/22:13:57.830000,1.7230632542873197
1969/12/31/22:13:57.840000,1.7230632542873197
1969/12/31/22:13:57.840000,1.7230632542873197
1969/12/31/22:13:57.850000,1.7230632542873197
1969/12/31/22:13:57.850000,1.7230632542873197
1969/12/31/22:13:57.860000,1.7230632542873197
1969/12/31/22:13:57.860000,1.7230632542873197
1969/12/31/22:13:57.870000,1.7230632542873197
1969/12/31/22:13:57.870000,1.7596776463159864
1969/12/31/22:13:57.880000,1.7596776463159864
1969/12/31/22:13:57.880000,1.7596776463159864
1969/12/31/22:13:57.890000,1.7596776463159864
1969/12/31/22:13:57.890000,1.7596776463159864
1969/12/31/22:13:57.900000,1.7596776463159864
1969/12/31/22:13:57.900000,1.7596776463159864
1969/12/31/22:13:57.910000,1.7596776463159864
1969/12/31/22:13:57.910000,1.7596776463159864
1969/12/31/22:13:57.920000,1.7596776463159864
1969/12/31/22:13:57.920000,1.80707400364529
1969/12/31/22:13:57.930000,1.80707400364529
1969/12/31/22:13:57.930000,1.80707400364529
