time,.data
1969/12/31/22:13:57.920000,-1.8730171407929153
1969/12/31/22:13:57.920000,-1.8376558420362414
1969/12/31/22:13:57.930000,-1.8376558420362414
1969/12/31/22:13:57.930000,-1.8376558420362414
1969/12/31/22:13:57.940000,-1.8376558420362414
1969/12/31/22:13:57.940000,-1.8376558420362414
1969/12/31/22:13:57.950000,-1.8376558420362414
1969/12/31/22:13:57.950000,-1.8376558420362414
1969/12/31/22:13:57.960000,-1.8376558420362414
1969/12/31/22:13:57.960000,-1.8090687233315088
1969/12/31/22:13:57.970000,-1.8090687233315088
1969/12/31/22:13:57.970000,-1.8090687233315088
1969/12/31/22:13:57.980000,-1.8090687233315088
1969/12/31/22:13:57.980000,-1.8090687233315088
1969/12/31/22:13:57.990000,-1.8090687233315088
1969/12/31/22:13:57.990000,-1.8090687233315088
1969/12/31/22:13:58.000000,-1.8090687233315088
1969/12/31/22:13:58.000000,-1.8090687233315088
1969/12/31/22:13:58.010000,-1.8090687233315088
1969/12/31/22:13:58.010000,-1.7729689789117793
1969/12/31/22:13:58.020000,-1.7729689789117793
1969/12/31/22:13:58.020000,-1.7657008992580399
1969/12/31/22:13:58.030000,-1.7657008992580399
1969/12/31/22:13:58.030000,-1.7657008992580399
1969/12/31/22:13:58.040000,-1.7657008992580399
1969/12/31/22:13:58.040000,-1.7657008992580399
1969/12/31/22:13:58.050000,-1.7657008992580399
1969/12/31/22:13:58.050000,-1.7657008992580399
1969/12/31/22:13:58.060000,-1.7657008992580399
1969/12/31/22:13:58.060000,-1.736470323951446
1969/12/31/22:13:58.070000,-1.736470323951446
1969/12/31/22:13:58.070000,-1.736470323951446
1969/12/31/22:13:58.080000,-1.736470323951446
1969/12/31/22:13:58.080000,-1.736470323951446
1969/12/31/22:13:58.090000,-1.736470323951446
1969/12/31/22:13:58.090000,-1.736470323951446
1969/12/31/22:13:58.100000,-1.736470323951446
1969/12/31/22:13:58.100000,-1.736470323951446
1969/12/31/22:13:58.110000,-1.736470323951446
1969/12/31/22:13:58.110000,-1.6995809704950222
1969/12/31/22:13:58.120000,-1.6995809704950222
1969/12/31/22:13:58.120000,-1.6995809704950222
1969/12/31/22:13:58.130000,-1.6995809704950222
1969/12/31/22:13:58.130000,-1.6995809704950222
1969/12/31/22:13:58.140000,-1.6995809704950222
1969/12/31/22:13:58.140000,-1.6995809704950222
1969/12/31/22:13:58.150000,-1.6995809704950222
1969/12/31/22:13:58.150000,-1.6697937594703962
1969/12/31/22:13:58.160000,-1.6697937594703962
1969/12/31/22:13:58.160000,-1.6697937594703962
1969/12/31/22:13:58.170000,-1.6697937594703962
1969/12/31/22:13:58.170000,-1.6697937594703962
1969/12/31/22:13:58.180000,-1.6697937594703962
1969/12/31/22:13:58.180000,-1.6697937594703962
1969/12/31/22:13:58.190000,-1.6697937594703962
1969/12/31/22:13:58.190000,-1.6697937594703962
1969/12/31/22:13:58.200000,-1.6697937594703962
1969/12/31/22:13:58.200000,-1.6322221224704951
1969/12/31/22:13:58.210000,-1.6322221224704951
1969/12/31/22:13:58.210000,-1.6322221224704951
1969/12/31/22:13:58.220000,-1.6322221224704951
1969/12/31/22:13:58.220000,-1.6322221224704951
1969/12/31/22:13:58.230000,-1.6322221224704951
1969/12/31/22:13:58.230000,-1.6322221224704951
1969/12/31/22:13:58.240000,-1.6322221224704951
